subject,professor,room,weekday,start_time,end_tim
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),목,13:30,15:00
일반화학및실험1,김갑수,308-407(과학관  일반화학실험실A),목,13:30,15:00
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),목,15:00,17:00
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),목,15:00,17:00
일반화학및실험1,김갑수,308-407(과학관  일반화학실험실A),목,15:00,17:00
일반화학및실험1,김갑수,308-407(과학관  일반화학실험실A),화,16:00,18:00
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),화,16:00,18:00
일반화학및실험1,김갑수,308-407(과학관  일반화학실험실A),화,18:00,20:30
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),화,18:00,20:30
일반화학및실험1,박봉서,307-350(명진관 A350 강의실_스마트),목,15:00,18:00
일반화학및실험1,박봉서,308-407(과학관  일반화학실험실A),목,15:00,18:00
일반화학및실험1,박봉서,307-350(명진관 A350 강의실_스마트),목,18:00,19:40
일반화학및실험1,박봉서,308-407(과학관  일반화학실험실A),목,18:00,19:40
일반화학및실험1,이길선,1104-230(상영바이오관 230 허담 강의실),목,15:00,18:00
일반화학및실험1,이길선,1104-266(상영바이오관 266 학부 공용실습실),목,15:00,18:00
일반화학및실험1,이길선,1104-230(상영바이오관 230 허담 강의실),금,10:00,12:00
일반화학및실험1,이길선,1104-266(상영바이오관 266 학부 공용실습실),금,10:00,12:00
일반화학및실험1,조대행,1104-227(상영바이오관 227 강의실_스마트),목,15:00,18:00
일반화학및실험1,조대행,1104-266(상영바이오관 266 학부 공용실습실),목,15:00,18:00
일반화학및실험1,조대행,1104-227(상영바이오관 227 강의실_스마트),금,15:00,17:00
일반화학및실험1,조대행,1104-266(상영바이오관 266 학부 공용실습실),금,15:00,17:00
일반화학및실험1,임재희,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),수,14:00,17:00
일반화학및실험1,임재희,1104-266(상영바이오관 266 학부 공용실습실),수,14:00,17:00
일반화학및실험1,임재희,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),금,13:00,15:00
일반화학및실험1,임재희,1104-266(상영바이오관 266 학부 공용실습실),금,13:00,15:00
일반생물학및실험1,정상민,201-111(사회과학/경영관 M111 강의실),화,14:00,16:00
일반생물학및실험1,정상민,401-2158(신공학관(기숙사) 2158 일반생물학실험실),화,14:00,16:00
일반생물학및실험1,정상민,201-111(사회과학/경영관 M111 강의실),목,16:30,18:25
일반생물학및실험1,정상민,401-2158(신공학관(기숙사) 2158 일반생물학실험실),목,16:30,18:25
일반생물학및실험1,조선희,201-111(사회과학/경영관 M111 강의실),화,16:00,18:00
일반생물학및실험1,조선희,401-2158(신공학관(기숙사) 2158 일반생물학실험실),화,16:00,18:00
일반생물학및실험1,조선희,201-111(사회과학/경영관 M111 강의실),금,14:00,16:00
일반생물학및실험1,조선희,401-2158(신공학관(기숙사) 2158 일반생물학실험실),금,14:00,16:00
일반생물학및실험1,이보영,201-111(사회과학/경영관 M111 강의실),화,09:00,11:00
일반생물학및실험1,이보영,401-2158(신공학관(기숙사) 2158 일반생물학실험실),화,09:00,11:00
일반생물학및실험1,이보영,201-111(사회과학/경영관 M111 강의실),목,14:30,16:30
일반생물학및실험1,이보영,401-2158(신공학관(기숙사) 2158 일반생물학실험실),목,14:30,16:30
일반생물학및실험1,정상민,407-B127(정보문화관P P207 강의실),월,18:00,19:40
일반생물학및실험1,정상민,401-2158(신공학관(기숙사) 2158 일반생물학실험실),월,18:00,19:40
일반생물학및실험1,정상민,407-B127(정보문화관P P207 강의실),월,19:40,21:30
일반생물학및실험1,정상민,401-2158(신공학관(기숙사) 2158 일반생물학실험실),월,19:40,21:30
일반생물학및실험1,김병혁,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),화,14:00,16:00
일반생물학및실험1,김병혁,1104-266(상영바이오관 266 학부 공용실습실),화,14:00,16:00
일반생물학및실험1,김병혁,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),화,16:00,18:00
